"id","titulo","anio","pais","idioma","duracion","presupuesto","ingresos_mundiales","ingresos_usa","calificacion_promedio","num_votos","genero","ingresos_internacionales","idioma_ingles","pais_fuerte","duracion_cuadrado","outlier_presupuesto","outlier_ingresos","outlier_duracion","log_presupuesto","log_ingresos_int","roi","ratio_ingreso_presupuesto","categoria_presupuesto","decada"
"tt1386703","Total Recall - Atto di forza",2012,"USA, Canada","English",118,1.25e+08,198467168,58877969,6.3,237318,"Action, Adventure, Sci-Fi",139589199,1,0,13924,FALSE,FALSE,FALSE,18.6438243032666,18.754214381403,0.116713592,1.116713592,"Muy Alto","2010s"
"tt1389072","Downsizing - Vivere alla grande",2017,"USA, Norway","English",135,6.8e+07,55003890,24449754,5.7,95518,"Drama, Sci-Fi",30554136,1,0,18225,FALSE,FALSE,FALSE,18.0350182778463,17.2350106517624,-0.550674470588235,0.449325529411765,"Alto","2010s"
"tt1389096","Uomini di parola",2012,"USA","English",95,1.5e+07,5072654,3310031,6.5,52492,"Comedy, Crime, Thriller",1762623,1,1,9025,FALSE,FALSE,FALSE,16.5235608257331,14.3823141658037,-0.8824918,0.1175082,"Medio","2010s"
"tt1389137","La mia vita ̬ uno zoo",2011,"USA","English",124,5e+07,120081841,75624550,7.1,132661,"Comedy, Drama, Family",44457291,1,1,15376,FALSE,FALSE,FALSE,17.7275335833924,17.6100395559634,-0.11085418,0.88914582,"Alto","2010s"
"tt1390411","Heart of the Sea - Le origini di Moby Dick",2015,"USA, Australia, Spain","English",122,1e+08,93920758,25020758,6.9,119224,"Action, Adventure, Biography",68900000,1,0,14884,FALSE,FALSE,FALSE,18.4206807539524,18.0481667504977,-0.311,0.689,"Muy Alto","2010s"
"tt1390535","The Final",2010,"USA","English",93,1e+06,28491,NA,5.4,10309,"Drama, Horror, Thriller",17094.6,1,1,8649,FALSE,FALSE,FALSE,13.8155115579638,9.74657639943935,-0.9829054,0.0170946,"Bajo","2010s"
"tt1392170","Hunger Games",2012,"USA","English",142,7.8e+07,694394724,408010692,7.2,830511,"Action, Adventure, Sci-Fi",286384032,1,1,20164,FALSE,TRUE,FALSE,18.1722193974744,19.4728442407983,2.67159015384615,3.67159015384615,"Alto","2010s"
"tt1392190","Mad Max: Fury Road",2015,"Australia, South Africa","English",120,1.5e+08,375225175,154058340,8.1,856553,"Action, Adventure, Sci-Fi",221166835,1,0,14400,FALSE,FALSE,FALSE,18.8261458587272,19.2144278887049,0.474445566666667,1.47444556666667,"Muy Alto","2010s"
"tt1392197","Sansone",2010,"USA","English",99,5e+07,83761844,33644788,4.3,14091,"Comedy, Family",50117056,1,1,9801,FALSE,FALSE,FALSE,17.7275335833924,17.7298719671939,0.00234112,1.00234112,"Alto","2010s"
"tt1392214","Prisoners",2013,"USA","English",153,4.6e+07,122126687,61002302,8.1,581167,"Crime, Drama, Mystery",61124385,1,1,23409,FALSE,FALSE,FALSE,17.6441519761925,17.9284214607191,0.32879097826087,1.32879097826087,"Medio","2010s"
